# tortured phrase<TAB>expected term   (see AGENT.md)
counterfeit consciousness	artificial intelligence
man-made consciousness	artificial intelligence
profound learning	deep learning
profound neural organization	deep neural network
neural organization	neural network
AI calculation	machine learning algorithm
irregular woodland	random forest
arbitrary timberland	random forest
choice tree	decision tree
bolster vector machine	support vector machine
colossal information	big data
enormous information	big data
information mining	data mining
information stockroom	data warehouse
distributed computing haze	cloud computing
bosom peril	breast cancer
bosom malignancy	breast cancer
lung malignant growth	lung cancer
kidney disappointment	kidney failure
cardiovascular breakdown	heart failure
flag to commotion	signal to noise
sign to clamor	signal to noise
mean square blunder	mean square error
standard deviation blunder	standard error
invalid speculation	null hypothesis
elective speculation	alternative hypothesis
factual importance	statistical significance
measurable noteworthiness	statistical significance
straight relapse	linear regression
calculated relapse	logistic regression
arbitrary example	random sample
certainty stretch	confidence interval
